runTag,variant,nNodes,nFlows,pps,seed,simulationTime,avgThroughputMbps,avgDelaySec,pdr,dropRatio,txPackets,rxPackets,lostPackets
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,20,30,300,1,20.000000,4.654800,0.131317,0.969215,0.025415,24395,23644,620
wired_oat_full,TcpWestwoodPlusNew,20,30,300,1,20.000000,4.658800,0.130944,0.968506,0.026375,24417,23648,644
wired_oat_full,TcpWestwoodPlus,20,30,300,1,20.000000,4.651200,0.130748,0.970168,0.025359,24370,23643,618
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,40,30,300,1,20.000000,4.657200,0.129908,0.964259,0.028568,24398,23526,697
wired_oat_full,TcpWestwoodPlusNew,40,30,300,1,20.000000,4.643200,0.130424,0.967219,0.026899,24313,23516,654
wired_oat_full,TcpWestwoodPlus,40,30,300,1,20.000000,4.622000,0.130705,0.966727,0.028255,24314,23505,687
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,60,10,300,1,20.000000,4.645200,0.110187,0.987522,0.005984,23561,23267,141
wired_oat_full,TcpWestwoodPlusNew,60,10,300,1,20.000000,4.630000,0.113665,0.987857,0.007218,23553,23267,170
wired_oat_full,TcpWestwoodPlus,60,10,300,1,20.000000,4.642800,0.113286,0.986587,0.006876,23559,23243,162
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,60,20,300,1,20.000000,4.667200,0.122448,0.979155,0.016651,24082,23580,401
wired_oat_full,TcpWestwoodPlusNew,60,20,300,1,20.000000,4.677600,0.121822,0.977611,0.017041,24119,23579,411
wired_oat_full,TcpWestwoodPlus,60,20,300,1,20.000000,4.655600,0.121212,0.978980,0.017115,24072,23566,412
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,60,30,100,1,20.000000,4.674400,0.130444,0.964328,0.028448,24501,23627,697
wired_oat_full,TcpWestwoodPlusNew,60,30,100,1,20.000000,4.666000,0.130753,0.965390,0.029093,24473,23626,712
wired_oat_full,TcpWestwoodPlus,60,30,100,1,20.000000,4.660400,0.129692,0.966525,0.028278,24436,23618,691
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,60,30,200,1,20.000000,4.633200,0.130265,0.964938,0.028568,24328,23475,695
wired_oat_full,TcpWestwoodPlusNew,60,30,200,1,20.000000,4.608000,0.130564,0.967948,0.027432,24242,23465,665
wired_oat_full,TcpWestwoodPlus,60,30,200,1,20.000000,4.608000,0.129918,0.967816,0.027191,24236,23456,659
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,60,30,300,1,20.000000,4.657600,0.129902,0.964220,0.028567,24399,23526,697
wired_oat_full,TcpWestwoodPlusNew,60,30,300,1,20.000000,4.643200,0.130424,0.967219,0.026899,24313,23516,654
wired_oat_full,TcpWestwoodPlus,60,30,300,1,20.000000,4.622000,0.130705,0.966727,0.028255,24314,23505,687
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,60,30,400,1,20.000000,4.659600,0.130967,0.966226,0.027927,24457,23631,683
wired_oat_full,TcpWestwoodPlusNew,60,30,400,1,20.000000,4.644400,0.132015,0.968674,0.026405,24389,23625,644
wired_oat_full,TcpWestwoodPlus,60,30,400,1,20.000000,4.641600,0.131501,0.967634,0.027491,24408,23618,671
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,60,30,500,1,20.000000,4.677600,0.131047,0.964183,0.028457,24458,23582,696
wired_oat_full,TcpWestwoodPlusNew,60,30,500,1,20.000000,4.638800,0.131202,0.967493,0.027582,24364,23572,672
wired_oat_full,TcpWestwoodPlus,60,30,500,1,20.000000,4.633200,0.131062,0.966724,0.027983,24372,23561,682
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,60,40,300,1,20.000000,4.662000,0.142330,0.959359,0.034373,24729,23724,850
wired_oat_full,TcpWestwoodPlusNew,60,40,300,1,20.000000,4.683600,0.143600,0.953625,0.038820,24884,23730,966
wired_oat_full,TcpWestwoodPlus,60,40,300,1,20.000000,4.682800,0.144375,0.953424,0.039825,24884,23725,991
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,60,50,300,1,20.000000,4.645600,0.161378,0.954048,0.038935,24939,23793,971
wired_oat_full,TcpWestwoodPlusNew,60,50,300,1,20.000000,4.662000,0.158886,0.952949,0.039242,24973,23798,980
wired_oat_full,TcpWestwoodPlus,60,50,300,1,20.000000,4.647200,0.158139,0.953853,0.039532,24942,23791,986
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,80,30,300,1,20.000000,4.652800,0.131125,0.968164,0.027493,24406,23629,671
wired_oat_full,TcpWestwoodPlusNew,80,30,300,1,20.000000,4.656000,0.130295,0.967957,0.026716,24405,23623,652
wired_oat_full,TcpWestwoodPlus,80,30,300,1,20.000000,4.643200,0.130509,0.968475,0.027262,24393,23624,665
wired_oat_full,TcpDualModifiedTcpWestwoodPlusNew,100,30,300,1,20.000000,4.656800,0.129908,0.964220,0.028608,24399,23526,698
wired_oat_full,TcpWestwoodPlusNew,100,30,300,1,20.000000,4.643200,0.130423,0.967219,0.026899,24313,23516,654
wired_oat_full,TcpWestwoodPlus,100,30,300,1,20.000000,4.622000,0.130706,0.966727,0.028255,24314,23505,687
