runTag,nNodes,nFlows,packetsPerSecond,coverageMultiplier,variant,simulationTime
wireless_oat_full,20,30,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,20,30,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,20,30,300,2,TcpWestwoodPlus,20.0
wireless_oat_full,40,30,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,40,30,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,40,30,300,2,TcpWestwoodPlus,20.0
wireless_oat_full,60,10,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,60,10,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,60,10,300,2,TcpWestwoodPlus,20.0
wireless_oat_full,60,20,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,60,20,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,60,20,300,2,TcpWestwoodPlus,20.0
wireless_oat_full,60,30,100,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,60,30,100,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,60,30,100,2,TcpWestwoodPlus,20.0
wireless_oat_full,60,30,200,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,60,30,200,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,60,30,200,2,TcpWestwoodPlus,20.0
wireless_oat_full,60,30,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,60,30,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,60,30,300,2,TcpWestwoodPlus,20.0
wireless_oat_full,60,30,400,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,60,30,400,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,60,30,400,2,TcpWestwoodPlus,20.0
wireless_oat_full,60,30,500,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,60,30,500,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,60,30,500,2,TcpWestwoodPlus,20.0
wireless_oat_full,60,40,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,60,40,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,60,40,300,2,TcpWestwoodPlus,20.0
wireless_oat_full,60,50,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,60,50,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,60,50,300,2,TcpWestwoodPlus,20.0
wireless_oat_full,80,30,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,80,30,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,80,30,300,2,TcpWestwoodPlus,20.0
wireless_oat_full,100,30,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full,100,30,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full,100,30,300,2,TcpWestwoodPlus,20.0
