runTag,nNodes,nFlows,packetsPerSecond,coverageMultiplier,variant,simulationTime
wireless_oat_full_cov,20,30,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,20,30,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,20,30,300,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,40,30,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,40,30,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,40,30,300,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,10,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,10,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,10,300,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,20,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,20,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,20,300,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,30,100,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,100,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,100,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,30,200,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,200,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,200,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,30,300,1,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,300,1,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,300,1,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,30,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,300,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,30,300,3,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,300,3,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,300,3,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,30,300,4,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,300,4,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,300,4,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,30,300,5,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,300,5,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,300,5,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,30,400,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,400,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,400,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,30,500,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,500,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,30,500,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,40,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,40,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,40,300,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,60,50,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,50,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,60,50,300,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,80,30,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,80,30,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,80,30,300,2,TcpWestwoodPlus,20.0
wireless_oat_full_cov,100,30,300,2,TcpDualModifiedTcpWestwoodPlusNew,20.0
wireless_oat_full_cov,100,30,300,2,TcpWestwoodPlusNew,20.0
wireless_oat_full_cov,100,30,300,2,TcpWestwoodPlus,20.0
