tcpVariant,nNodes,nFlows,packetsPerSecond,coverageMultiplier,throughput_kbps,avgDelay_ms,pdr_percent,dropRatio_percent,energy_joules
TcpDualModifiedTcpWestwoodPlusNew,20,30,300,2,31.5520,64.9879,88.3783,6.7167,1.1023
TcpWestwoodPlusNew,20,30,300,2,30.1120,72.5303,87.6769,6.2529,1.0812
TcpWestwoodPlus,20,30,300,2,31.3280,62.2715,87.2083,6.8671,1.0893
TcpDualModifiedTcpWestwoodPlusNew,40,30,300,2,30.6240,73.5501,83.1727,10.2008,1.6536
TcpWestwoodPlusNew,40,30,300,2,30.9760,74.8418,84.0213,10.3801,1.6457
TcpWestwoodPlus,40,30,300,2,30.2400,69.0251,81.9884,10.8153,1.6275
TcpDualModifiedTcpWestwoodPlusNew,60,10,300,2,30.6880,71.9335,87.5439,7.0614,2.1263
TcpWestwoodPlusNew,60,10,300,2,30.0800,77.3493,87.3252,7.2552,2.1276
TcpWestwoodPlus,60,10,300,2,30.5600,89.6203,88.1084,6.9789,2.1016
TcpDualModifiedTcpWestwoodPlusNew,60,20,300,2,30.2080,92.1714,83.4245,9.6340,2.1370
TcpWestwoodPlusNew,60,20,300,2,29.2160,87.1473,82.8003,9.9395,2.1189
TcpWestwoodPlus,60,20,300,2,29.3120,83.6970,84.2917,9.3333,2.1459
TcpDualModifiedTcpWestwoodPlusNew,60,30,100,2,28.6400,80.5322,78.4972,13.6691,2.1505
TcpWestwoodPlusNew,60,30,100,2,27.4880,79.1238,78.1665,13.7515,2.1456
TcpWestwoodPlus,60,30,100,2,27.1680,92.1976,78.3172,11.8528,2.1424
TcpDualModifiedTcpWestwoodPlusNew,60,30,200,2,28.0640,87.9066,78.3123,12.2634,2.1582
TcpWestwoodPlusNew,60,30,200,2,28.0960,85.4288,78.9601,12.5353,2.1470
TcpWestwoodPlus,60,30,200,2,29.9840,86.4824,78.6256,12.9045,2.1512
TcpDualModifiedTcpWestwoodPlusNew,60,30,300,1,29.0240,82.4806,78.2814,13.4411,2.1583
TcpWestwoodPlusNew,60,30,300,1,28.3200,78.9482,77.7040,13.4713,2.1620
TcpWestwoodPlus,60,30,300,1,28.2560,88.2581,77.7996,12.8487,2.1585
TcpDualModifiedTcpWestwoodPlusNew,60,30,300,2,27.7120,104.9755,78.2869,11.8725,2.1517
TcpWestwoodPlusNew,60,30,300,2,27.3600,106.5235,78.1661,12.2122,2.1320
TcpWestwoodPlus,60,30,300,2,28.4800,91.5274,79.5724,11.9952,2.1604
TcpDualModifiedTcpWestwoodPlusNew,60,30,300,3,28.5440,87.2946,77.6757,13.9776,2.1479
TcpWestwoodPlusNew,60,30,300,3,27.4560,89.9721,74.5662,13.9196,2.1441
TcpWestwoodPlus,60,30,300,3,27.1680,91.2707,76.5327,13.8449,2.1337
TcpDualModifiedTcpWestwoodPlusNew,60,30,300,4,26.1120,93.6100,76.6954,12.0838,2.1270
TcpWestwoodPlusNew,60,30,300,4,26.6240,103.1030,76.8324,12.4684,2.1131
TcpWestwoodPlus,60,30,300,4,26.1760,91.0384,77.9774,11.3665,2.1218
TcpDualModifiedTcpWestwoodPlusNew,60,30,300,5,28.8640,104.5471,81.2008,12.7122,2.1387
TcpWestwoodPlusNew,60,30,300,5,28.1600,99.1332,79.2079,12.5000,2.1338
TcpWestwoodPlus,60,30,300,5,27.9680,94.3546,78.6616,12.3737,2.1200
TcpDualModifiedTcpWestwoodPlusNew,60,30,400,2,28.3840,113.4972,79.6010,12.2964,2.1432
TcpWestwoodPlusNew,60,30,400,2,28.6720,111.8357,79.3355,12.2366,2.1452
TcpWestwoodPlus,60,30,400,2,29.1840,85.4102,76.9654,13.3255,2.1551
TcpDualModifiedTcpWestwoodPlusNew,60,30,500,2,26.9760,105.5274,79.1701,12.7773,2.1361
TcpWestwoodPlusNew,60,30,500,2,28.3840,88.6700,78.6741,12.6597,2.1516
TcpWestwoodPlus,60,30,500,2,29.2800,88.9861,79.5473,12.3908,2.1583
TcpDualModifiedTcpWestwoodPlusNew,60,40,300,2,27.7120,104.9755,78.2869,11.8725,2.1517
TcpWestwoodPlusNew,60,40,300,2,27.3600,106.5235,78.1661,12.2122,2.1320
TcpWestwoodPlus,60,40,300,2,28.4800,91.5274,79.5724,11.9952,2.1604
TcpDualModifiedTcpWestwoodPlusNew,60,50,300,2,27.7120,104.9755,78.2869,11.8725,2.1517
TcpWestwoodPlusNew,60,50,300,2,27.3600,106.5235,78.1661,12.2122,2.1320
TcpWestwoodPlus,60,50,300,2,28.4800,91.5274,79.5724,11.9952,2.1604
TcpDualModifiedTcpWestwoodPlusNew,80,30,300,2,26.7840,82.3504,75.7933,14.0765,2.6410
TcpWestwoodPlusNew,80,30,300,2,27.7120,90.6431,77.9285,14.0978,2.6426
TcpWestwoodPlus,80,30,300,2,27.0400,77.6488,76.5593,14.3090,2.6426
TcpDualModifiedTcpWestwoodPlusNew,100,30,300,2,24.7360,89.2852,74.8696,16.0000,3.1107
TcpWestwoodPlusNew,100,30,300,2,24.3840,91.0812,73.3133,15.9003,3.1119
TcpWestwoodPlus,100,30,300,2,24.5120,268.5217,77.4885,13.7337,3.1395
